name,features,cuisines,meals,special meals,official_description,rating,street,country,region,coords,image
Canas Restaurante,"Seating, Table Service, ","European, Portuguese, ",,,,3.0,Rue Saraiva Carvalho 400,Portugal,Central Portugal,"{'latitude': '38.71551', 'longitude': '-9.164186'}",https://media-cdn.tripadvisor.com/media/photo-o/07/c0/a2/c9/canas-restaurante.jpg
Pastelaria Guadalupe,"Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, ","Cafe, Portuguese, European, ","Breakfast, Lunch, Brunch, ","Vegetarian Friendly, Vegan Options, ",Pastelaria guadalupe de alfama is a coffe shop with a friendly staff and environment we have the pleasure to serve alfama for 53 years with traditional portuguese food a very taste and famous pastel de nata and a selection of diferent cakes,5.0,Rua do Terreiro do Trigo 24,Portugal,Central Portugal,"{'latitude': '38.710857', 'longitude': '-9.128243'}",https://media-cdn.tripadvisor.com/media/photo-o/18/7a/0e/82/photo0jpg.jpg
Restaurante Lumiar,,,,,,4.5,Rua Antonio Stromp 1 1A Loja,Portugal,Central Portugal,"{'latitude': '38.76404', 'longitude': '-9.15729'}",https://media-cdn.tripadvisor.com/media/photo-o/16/99/70/ec/photo1jpg.jpg
Restaurante Adega Dos Arcos,"Reservations, Seating, Serves Alcohol, Table Service, ","Portuguese, Mediterranean, European, ","Lunch, Dinner, ",,,4.5,Rua do Merca-Tudo 8,Portugal,Central Portugal,"{'latitude': '38.70878', 'longitude': '-9.15255'}",https://media-cdn.tripadvisor.com/media/photo-o/12/86/21/2e/20180403-134848-largejpg.jpg
Croco,,"European, Portuguese, ",,,,5.0,Avenida Infante Santo 356-A,Portugal,Central Portugal,"{'latitude': '38.71181', 'longitude': '-9.163614'}",
Sabores Autenticos,"Reservations, Seating, Serves Alcohol, Table Service, ","Mediterranean, Portuguese, European, ","Lunch, Dinner, ","Gluten Free Options, ",RU5FX19WQnQ,5.0,Rua de Campolide 165A,Portugal,Central Portugal,"{'latitude': '38.731125', 'longitude': '-9.162479'}",https://media-cdn.tripadvisor.com/media/photo-o/14/34/14/9e/dsc-0494-largejpg.jpg
Frutaria Saldanha,"Reservations, Seating, Table Service, ","European, Portuguese, ","Dinner, ",,,3.5,Rua Marechal Saldanha 22 24,Portugal,Central Portugal,"{'latitude': '38.71048', 'longitude': '-9.14655'}",https://media-cdn.tripadvisor.com/media/photo-o/0d/14/e4/87/morue-grillee.jpg
Ciao Milano,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, ","Seafood, Portuguese, ","Lunch, Dinner, Late Night, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",,3.5,Rua das Portas de Santo Antao 31-37,Portugal,Central Portugal,"{'latitude': '38.71542', 'longitude': '-9.139775'}",https://media-cdn.tripadvisor.com/media/photo-o/18/49/63/99/portuguese-food.jpg
Ze Da Mouraria 2,"Reservations, Seating, Television, Serves Alcohol, Full Bar, Free Wifi, Table Service, Highchairs Available, ","Mediterranean, European, Portuguese, ","Lunch, Dinner, ",,,4.0,Rua Gomes Freire 60 62,Portugal,Central Portugal,"{'latitude': '38.7244', 'longitude': '-9.14005'}",https://media-cdn.tripadvisor.com/media/photo-o/1a/3a/d3/2b/img-20191206-192856-largejpg.jpg
Maria Baunilha,,"Cafe, European, Healthy, Portuguese, Soups, ",,,,5.0,Estrada de Benfica 476A,Portugal,Central Portugal,"{'latitude': '38.74977', 'longitude': '-9.19365'}",https://media-cdn.tripadvisor.com/media/photo-o/0e/8e/8b/08/da-ultima-vez-a-vitima.jpg
Natraj Tandoori,"Reservations, Seating, Serves Alcohol, Table Service, Takeout, ","Indian, Asian, ","Lunch, Dinner, Late Night, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",,4.5,Rua do Sol ao Rato 52,Portugal,Central Portugal,"{'latitude': '38.719738', 'longitude': '-9.157537'}",
Tasca Do Papagaio,"Reservations, Seating, Serves Alcohol, Television, Table Service, ","Portuguese, European, ","Lunch, Dinner, ",,,4.0,Rua Joao Penha n 30,Portugal,Central Portugal,"{'latitude': '38.72204', 'longitude': '-9.15538'}",https://media-cdn.tripadvisor.com/media/photo-o/0c/7c/7a/be/photo0jpg.jpg
Almuina Churrasqueira Pontinha,"Takeout, Reservations, Parking Available, Street Parking, Television, Wheelchair Accessible, Serves Alcohol, Accepts Visa, Digital Payments, Cash Only, Accepts Credit Cards, ","Barbecue, European, Portuguese, ","Lunch, Dinner, Brunch, Drinks, ",,,4.0,"Rua Santo Eloi, 36 a Pontinha",Portugal,Central Portugal,"{'latitude': '38.76718', 'longitude': '-9.20171'}",
Bengal Tandoori Lisboa,"Seating, Street Parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Delivery, Takeout, Reservations, Buffet, Digital Payments, Cash Only, Accepts Discover, Accepts Credit Cards, Table Service, ","Asian, Indian, International, Healthy, ","Lunch, Dinner, Drinks, ","Vegetarian Friendly, Vegan Options, ",eTRPX19oZ2o,4.5,Rua da Alegria 23,Portugal,Central Portugal,"{'latitude': '38.717655', 'longitude': '-9.146331'}",https://media-cdn.tripadvisor.com/media/photo-o/1c/42/18/bf/exterior.jpg
